,Year,District.Code,District.Name,Neighborhood.Code,Neighborhood.Name,Gender,Number
158,2016,3,Sants-Montjuic,13,la Marina de Port,Male,622
159,2016,3,Sants-Montjuic,14,la Font de la Guatlla,Male,302
160,2016,3,Sants-Montjuic,15,Hostafrancs,Male,518
161,2016,3,Sants-Montjuic,16,la Bordeta,Male,442
162,2016,3,Sants-Montjuic,17,Sants - Badal,Male,642
163,2016,3,Sants-Montjuic,18,Sants,Male,1121
164,2016,4,Les Corts,19,les Corts,Male,977
165,2016,4,Les Corts,20,la Maternitat i Sant Ramon,Male,588
166,2016,4,Les Corts,21,Pedralbes,Male,369
167,2016,5,Sarria-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Male,75
168,2016,5,Sarria-Sant Gervasi,23,Sarrià,Male,542
169,2016,5,Sarria-Sant Gervasi,24,les Tres Torres,Male,264
170,2016,5,Sarria-Sant Gervasi,25,Sant Gervasi - la Bonanova,Male,526
171,2016,5,Sarria-Sant Gervasi,26,Sant Gervasi - Galvany,Male,1041
172,2016,5,Sarria-Sant Gervasi,27,el Putxet i el Farró,Male,580
173,2016,6,Gracia,28,Vallcarca i els Penitents,Male,325
174,2016,6,Gracia,29,el Coll,Male,161
175,2016,6,Gracia,30,la Salut,Male,304
176,2016,6,Gracia,31,la Vila de Gracia,Male,1405
177,2016,6,Gracia,32,el Camp d'en Grassot i Gracia Nova,Male,702
178,2016,7,Horta-Guinardo,33,el Baix Guinardó,Male,510
179,2016,7,Horta-Guinardo,34,Can Baró,Male,174
180,2016,7,Horta-Guinardo,35,el Guinardó,Male,774
181,2016,7,Horta-Guinardo,36,la Font d'en Fargues,Male,99
182,2016,7,Horta-Guinardo,37,el Carmel,Male,555
183,2016,7,Horta-Guinardo,38,la Teixonera,Male,268
184,2016,7,Horta-Guinardo,39,Sant Genís dels Agudells,Male,177
185,2016,7,Horta-Guinardo,40,Montbau,Male,97
186,2016,7,Horta-Guinardo,41,la Vall d'Hebron,Male,113
187,2016,7,Horta-Guinardo,42,la Clota,Male,8
188,2016,7,Horta-Guinardo,43,Horta,Male,463
189,2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Male,447
